accuracy,loss,val_accuracy,val_loss
0.5514,1.2892,0.531,0.7114
0.5661,0.6809,0.6297,0.6518
0.5713,0.6704,0.5157,1.164
0.5693,0.6767,0.545,0.9016
0.5798,0.6727,0.5893,0.6713
0.5874,0.6708,0.582,0.6806
0.5863,0.6712,0.5917,0.8815
0.5882,0.6712,0.668,0.6371
0.5931,0.6674,0.647,0.6412
0.5864,0.6694,0.6533,0.6544
0.6023,0.6632,0.6707,0.6329
0.6004,0.6637,0.6187,0.7095
0.6039,0.6613,0.6733,0.6302
0.6099,0.6603,0.6627,0.6346
0.6111,0.6551,0.6747,0.62
0.6144,0.6559,0.6813,0.6172
0.6201,0.649,0.575,0.664
0.6231,0.6462,0.7093,0.6093
0.6315,0.6451,0.5533,1.0548
0.6386,0.6391,0.6717,0.6188
0.6478,0.6335,0.7083,0.6058
0.647,0.6317,0.7127,0.5912
0.6488,0.63,0.7217,0.5769
0.6548,0.6248,0.7213,0.5817
0.6567,0.6228,0.7317,0.585
0.6597,0.6193,0.7317,0.5705
0.6694,0.613,0.7477,0.5529
0.6646,0.6165,0.736,0.5603
0.6761,0.6086,0.7577,0.5514
0.6769,0.6023,0.759,0.5535
0.6807,0.6059,0.7363,0.5529
0.6888,0.599,0.7397,0.6424
0.69,0.594,0.767,0.5349
0.6973,0.5903,0.7533,0.5699
0.7015,0.5851,0.7333,0.5745
0.7174,0.5715,0.7493,0.5357
0.7258,0.5664,0.782,0.5085
0.7221,0.5605,0.7703,0.5258
0.7276,0.5574,0.7233,0.6439
0.7294,0.5575,0.7603,0.5133
0.7426,0.541,0.768,0.5167
0.7376,0.5455,0.787,0.5095
0.7461,0.5321,0.7897,0.4915
0.7484,0.5315,0.7753,0.4948
0.7606,0.5233,0.7883,0.4866
0.7624,0.5188,0.785,0.484
0.7655,0.5138,0.7803,0.487
0.7656,0.5119,0.816,0.4748
0.7639,0.5122,0.778,0.4854
0.772,0.5034,0.7703,0.4897
0.7771,0.4955,0.798,0.4771
0.7805,0.4988,0.8017,0.4886
0.7785,0.4913,0.7823,0.4827
0.7841,0.4866,0.8087,0.4715
0.7884,0.4809,0.819,0.4388
0.7939,0.4735,0.7997,0.4659
0.7926,0.4728,0.826,0.4385
0.7949,0.4728,0.808,0.4427
0.7991,0.4588,0.8193,0.4645
0.8044,0.4505,0.8253,0.4169
0.8135,0.4424,0.8217,0.4572
0.8252,0.4161,0.8277,0.4157
0.8279,0.4055,0.8417,0.3979
0.8372,0.3891,0.8293,0.4506
0.8377,0.3829,0.8053,0.5501
0.8409,0.374,0.8353,0.4494
0.8399,0.3803,0.8367,0.4085
0.8539,0.3558,0.8403,0.4579
0.8604,0.3448,0.8077,0.5473
0.8624,0.3385,0.8287,0.478
0.8637,0.3363,0.834,0.4544
0.8683,0.3254,0.8387,0.5175
0.8682,0.3298,0.8487,0.431
0.8706,0.3215,0.8253,0.463
0.8717,0.3149,0.8437,0.3963
0.8728,0.3144,0.8403,0.4421
0.8787,0.2996,0.8563,0.3956
0.8798,0.3042,0.8457,0.4107
0.8855,0.2934,0.8333,0.4172
0.8786,0.2931,0.871,0.3883
0.8897,0.2787,0.832,0.5866
0.8895,0.2756,0.8597,0.4132
0.8889,0.2758,0.8793,0.3691
0.8941,0.2725,0.8623,0.4561
0.8909,0.2689,0.8737,0.3749
0.8944,0.269,0.8663,0.3693
0.8997,0.2602,0.8523,0.4376
0.8991,0.2581,0.8663,0.4475
0.9004,0.2538,0.845,0.4662
0.9021,0.2477,0.8763,0.3699
0.9019,0.2485,0.869,0.5981
0.9065,0.2433,0.873,0.3753
0.9082,0.2352,0.872,0.4943
0.9028,0.2471,0.871,0.3495
0.9101,0.2317,0.8637,0.3461
0.9151,0.2239,0.8627,0.5596
0.9125,0.2323,0.8767,0.3489
0.9176,0.2175,0.8827,0.3933
0.9174,0.2136,0.8783,0.4499
0.9219,0.2165,0.878,0.4403
0.9211,0.2088,0.882,0.5007
0.9247,0.2009,0.887,0.3741
0.9251,0.2048,0.863,0.6532
0.9157,0.2162,0.8777,0.387
0.9237,0.2003,0.8727,0.342
